INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTIDX    ,BANKNIFTY ,30/12/2025,00059114.80,00059116.80,00058831.80,00058947.20,000000000844515,    39538366567.00,           670810,            19166,            14824
FUTIDX    ,BANKNIFTY ,27/01/2026,00059420.00,00059500.00,00059225.60,00059342.40,000000000906660,    27918600540.00,           470640,            15688,            12190
FUTIDX    ,BANKNIFTY ,24/02/2026,00059819.80,00059866.40,00059599.40,00059704.80,000000000064200,     1726570938.00,            28920,              964,              769
FUTIDX    ,MIDCPNIFTY,30/12/2025,00013772.95,00013779.15,00013644.05,00013660.30,000000000943460,    10127488049.00,           739200,             5280,             4889
FUTIDX    ,MIDCPNIFTY,27/01/2026,00013812.95,00013833.00,00013683.00,00013698.35,000000001577880,     9452210886.00,           687960,             5733,             5279
FUTIDX    ,MIDCPNIFTY,24/02/2026,00013846.45,00013899.95,00013746.90,00013758.30,000000000033600,      210055428.00,            15240,              127,              114
FUTIDX    ,NIFTYNXT50,30/12/2025,00068862.20,00069170.00,00068305.20,00068554.80,000000000011075,      782050320.00,            11375,              455,              423
FUTIDX    ,NIFTYNXT50,27/01/2026,00069270.00,00069498.80,00068662.40,00068936.60,000000000015825,      804591200.00,            11650,              466,              360
FUTIDX    ,NIFTYNXT50,24/02/2026,00069599.00,00069599.00,00069313.80,00069382.40,000000000000100,        8685350.00,              125,              005,              005
FUTSTK    ,GAIL      ,30/12/2025,00000169.69,00000171.70,00000169.69,00000170.56,000000031610250,     4112880817.50,         24110100,             7654,             6869
FUTSTK    ,GAIL      ,27/01/2026,00000172.03,00000172.80,00000171.00,00000171.59,000000068641650,     4037450161.50,         23527350,             7469,             6748
FUTSTK    ,GAIL      ,24/02/2026,00000172.59,00000173.62,00000172.13,00000172.64,000000002160900,      112634518.50,           652050,              207,              186
FUTSTK    ,GLENMARK  ,30/12/2025,00002014.10,00002024.70,00002002.20,00002008.30,000000004496250,     6337285537.50,          3150750,             8402,             6204
FUTSTK    ,GLENMARK  ,27/01/2026,00002035.90,00002038.00,00002015.00,00002020.20,000000010894875,     6551189437.50,          3236250,             8630,             6335
FUTSTK    ,GLENMARK  ,24/02/2026,00002035.10,00002045.00,00002028.00,00002032.10,000000000031500,        9929700.00,             4875,              013,              013
FUTSTK    ,GMRAIRPORT,30/12/2025,00000102.85,00000102.85,00000100.96,00000102.09,000000068550300,     5160704989.50,         50701275,             7269,             5334
