Futures on individual securities                                                                    
S No      ,Symbol    ,Traded Value (Rs.)                 ,No of Contracts                                   
1         ,360ONE    ,     1584052900.00,             2703
2         ,ABB       ,     6285266750.00,             9698
3         ,ABCAPITAL ,    10858997750.00,            10081
4         ,ADANIENSOL,    10346455789.00,            15205
5         ,ADANIENT  ,    28815238584.00,            41961
6         ,ADANIGREEN,    15240196020.00,            25144
7         ,ADANIPORTS,    19458858218.00,            27882
8         ,ALKEM     ,     4842473000.00,             6986
9         ,AMBER     ,     6288749350.00,             9800
10        ,AMBUJACEM ,    14056392263.00,            24159
11        ,ANGELONE  ,     8246482500.00,            13649
12        ,APLAPOLLO ,     6839992320.00,            10246
13        ,APOLLOHOSP,    12863368313.00,            14430
14        ,ASHOKLEY  ,    16418652850.00,            18963
15        ,ASIANPAINT,    20443404975.00,            29571
16        ,ASTRAL    ,     6549167210.00,            11227
17        ,AUBANK    ,    11599901750.00,            11861
18        ,AUROPHARMA,    11227411965.00,            16905
19        ,AXISBANK  ,    30213277625.00,            39277
20        ,BAJAJ-AUTO,    15153390338.00,            22188
21        ,BAJAJFINSV,    14844375875.00,            29530
22        ,BAJFINANCE,    27976179450.00,            37383
23        ,BANDHANBNK,     8661261744.00,            16537
24        ,BANKBARODA,    10892334375.00,            12862
25        ,BANKINDIA ,     4397980184.00,             6047
26        ,BDL       ,     7884184520.00,            15605
27        ,BEL       ,    27301376711.00,            47972
28        ,BHARATFORG,     7334828950.00,            10104
29        ,BHARTIARTL,    41540368468.00,            41630
30        ,BHEL      ,    10451129456.00,            14114
31        ,BIOCON    ,    13166004000.00,            13330
32        ,BLUESTARCO,     3203438648.00,             5629
33        ,BOSCHLTD  ,     3527495125.00,             3934
34        ,BPCL      ,     8010386700.00,            10959
35        ,BRITANNIA ,     9711815875.00,            12838
36        ,BSE       ,    18536097975.00,            18656
37        ,CAMS      ,     4804258725.00,             8596
38        ,CANBK     ,    14306407583.00,            14045
39        ,CDSL      ,     9079955885.00,            12989
40        ,CGPOWER   ,     5542938740.00,             9966
41        ,CHOLAFIN  ,    11892033063.00,            11190
42        ,CIPLA     ,     6662358375.00,            11822
43        ,COALINDIA ,    15948390713.00,            29374
44        ,COFORGE   ,    28285380975.00,            44723
45        ,COLPAL    ,     6827626035.00,            14615
46        ,CONCOR    ,    11421612063.00,            17582
47        ,CROMPTON  ,     6829025310.00,            14820
48        ,CUMMINSIND,     9380787280.00,            10644
49        ,CYIENT    ,     1488086160.00,             3177
50        ,DABUR     ,     5646883375.00,             9224
51        ,DALBHARAT ,     4154062315.00,             5864
52        ,DELHIVERY ,     4019782026.00,             4760
53        ,DIVISLAB  ,    10538251950.00,            16424
54        ,DIXON     ,    37630539800.00,            62199
55        ,DLF       ,    19363173761.00,            33872
56        ,DMART     ,    10453762755.00,            18401
57        ,DRREDDY   ,     7453798000.00,             9386
58        ,EICHERMOT ,    22684602088.00,            24204
59        ,ETERNAL   ,    32029576783.00,            46464
60        ,EXIDEIND  ,     6442002810.00,             9825
61        ,FEDERALBNK,    13955716750.00,            10609
62        ,FORTIS    ,     6535882714.00,             9450
63        ,GAIL      ,     8262965498.00,            15330
64        ,GLENMARK  ,    12898404675.00,            17045
65        ,GMRAIRPORT,    10809908150.00,            15174
66        ,GODREJCP  ,     5428004750.00,             8985
67        ,GODREJPROP,     8396310203.00,            15192
68        ,GRASIM    ,    19017231325.00,            26780
69        ,HAL       ,    26944789755.00,            40514
70        ,HAVELLS   ,     5669055400.00,             7978
71        ,HCLTECH   ,    16979942000.00,            29550
72        ,HDFCAMC   ,     9323478420.00,            11745
73        ,HDFCBANK  ,    77998965385.00,           142836
74        ,HDFCLIFE  ,    12223972640.00,            14838
75        ,HEROMOTOCO,    17907506400.00,            21296
76        ,HFCL      ,     3807126948.00,             9009
77        ,HINDALCO  ,    29523864720.00,            48315
78        ,HINDPETRO ,    12894417338.00,            13433
79        ,HINDUNILVR,    16081985610.00,            23363
80        ,HINDZINC  ,    36733286774.00,            47145
81        ,HUDCO     ,    10401679048.00,            16589
82        ,ICICIBANK ,    61718975710.00,            65223
83        ,ICICIGI   ,     5970164883.00,             9445
84        ,ICICIPRULI,     5879600024.00,             9739
85        ,IDEA      ,    46148917311.00,            53838
86        ,IDFCFIRSTB,    12862582058.00,            16278
87        ,IEX       ,     5731359750.00,            11421
88        ,IIFL      ,     6523393635.00,             6622
89        ,INDHOTEL  ,     9910926000.00,            13356
90        ,INDIANB   ,     6415393200.00,             8180
91        ,INDIGO    ,    19900875975.00,            26027
92        ,INDUSINDBK,    25369645595.00,            42863
93        ,INDUSTOWER,    20845813865.00,            28899
94        ,INFY      ,    39067987880.00,            59154
95        ,INOXWIND  ,    10534960696.00,            24275
96        ,IOC       ,    11236381943.00,            14197
97        ,IRCTC     ,     8485122144.00,            13773
98        ,IREDA     ,     5246472960.00,            10941
99        ,IRFC      ,    11700959665.00,            21252
100       ,ITC       ,    29736618880.00,            46012
101       ,JINDALSTEL,     9463921250.00,            15095
102       ,JIOFIN    ,    20067525493.00,            28876
103       ,JSWENERGY ,    10384549000.00,            21868
104       ,JSWSTEEL  ,    29084525415.00,            39023
105       ,JUBLFOOD  ,     8017130438.00,            11467
106       ,KALYANKJIL,     7972330468.00,            13839
107       ,KAYNES    ,     6748780450.00,            16793
108       ,KEI       ,     4116379645.00,             5329
109       ,KFINTECH  ,     3525703375.00,             6767
110       ,KOTAKBANK ,    25011962800.00,            28820
111       ,KPITTECH  ,     2496526323.00,             5016
112       ,LAURUSLABS,     9568473205.00,            10363
113       ,LICHSGFIN ,    10505263250.00,            19519
114       ,LICI      ,     5864620615.00,             9876
115       ,LODHA     ,     6284386530.00,            13011
116       ,LT        ,    21787918688.00,            30652
117       ,LTF       ,     9617948899.00,            10631
118       ,LTIM      ,     6232401825.00,             6838
119       ,LUPIN     ,    10562634268.00,            11864
120       ,M&M       ,    25804605800.00,            35575
121       ,MANAPPURAM,     7427045100.00,             7865
122       ,MANKIND   ,     2891604015.00,             5877
123       ,MARICO    ,    10490272860.00,            11650
124       ,MARUTI    ,    19725693550.00,            23720
125       ,MAXHEALTH ,    10037625675.00,            17828
126       ,MAZDOCK   ,    10295245373.00,            21136
127       ,MCX       ,    21545576375.00,            15505
128       ,MFSL      ,     7293738520.00,            10897
129       ,MOTHERSON ,    10066388019.00,            13670
130       ,MPHASIS   ,     8498416493.00,            10914
131       ,MUTHOOTFIN,     9934854188.00,             9569
132       ,NATIONALUM,    14595960375.00,            12710
133       ,NAUKRI    ,     4453447538.00,             8706
134       ,NBCC      ,    10696067005.00,            13256
135       ,NCC       ,     1165868775.00,             2687
136       ,NESTLEIND ,    10422230550.00,            16247
137       ,NHPC      ,     3318219200.00,             6684
138       ,NMDC      ,    28410986385.00,            51374
139       ,NTPC      ,    15399695250.00,            31536
140       ,NUVAMA    ,     4892615000.00,             7694
141       ,NYKAA     ,     6176939531.00,             7604
142       ,OBEROIRLTY,     4216674770.00,             7203
143       ,OFSS      ,     5472244200.00,             9456
144       ,OIL       ,     2849060480.00,             4994
145       ,ONGC      ,    15596160075.00,            29326
146       ,PAGEIND   ,     4221413325.00,             7759
147       ,PATANJALI ,    12141444825.00,            24747
148       ,PAYTM     ,    14993224533.00,            15670
149       ,PERSISTENT,    11343441850.00,            18099
150       ,PETRONET  ,     8801103415.00,            17074
151       ,PFC       ,    13208668460.00,            28790
152       ,PGEL      ,     6215459610.00,            13167
153       ,PHOENIXLTD,     4315034675.00,             6665
154       ,PIDILITIND,     5912250300.00,             8090
155       ,PIIND     ,     3808822938.00,             6727
156       ,PNB       ,    22925550640.00,            23781
157       ,PNBHOUSING,     8627138780.00,            14129
158       ,POLICYBZR ,     6790737100.00,            10122
159       ,POLYCAB   ,    11792714938.00,            12486
160       ,POWERGRID ,     9125209420.00,            18272
161       ,POWERINDIA,     4158983500.00,             4530
162       ,PPLPHARMA ,     2864143461.00,             6425
163       ,PRESTIGE  ,     3816954900.00,             5281
164       ,RBLBANK   ,    12665194380.00,            13125
165       ,RECLTD    ,    18427294114.00,            38707
166       ,RELIANCE  ,    63104439900.00,            81209
167       ,RVNL      ,    16190394081.00,            29945
168       ,SAIL      ,    17382578747.00,            27061
169       ,SAMMAANCAP,     1607661081.00,             2609
170       ,SBICARD   ,     9708800160.00,            14297
171       ,SBILIFE   ,     8887815263.00,            11711
172       ,SBIN      ,    28412867888.00,            39151
173       ,SHREECEM  ,     4816030875.00,             7323
174       ,SHRIRAMFIN,    29070607995.00,            36795
175       ,SIEMENS   ,     4510194888.00,             9597
176       ,SOLARINDS ,     8072960025.00,            10961
177       ,SONACOMS  ,     4275245275.00,             7849
178       ,SRF       ,     5706850480.00,             9211
179       ,SUNPHARMA ,    11248323520.00,            18630
180       ,SUPREMEIND,     3524268615.00,             6115
181       ,SUZLON    ,     8320524464.00,            18273
182       ,SYNGENE   ,     3171369200.00,             4829
183       ,TATACONSUM,     8555438815.00,            13052
184       ,TATAELXSI ,     3784972050.00,             7099
185       ,TATAPOWER ,    11767593755.00,            21439
