The top 10 futures contracts on individual securities traded are as under:                          
S No      ,Symbol    ,Exp Date  ,Traded Value (Rs.)  ,No of Contracts  
1         ,HDFCBANK  ,30/12/2025,    39414970760.00,            72407
2         ,HDFCBANK  ,27/01/2026,    38399826630.00,            70095
3         ,RELIANCE  ,27/01/2026,    31642797000.00,            40591
4         ,RELIANCE  ,30/12/2025,    30839718750.00,            39825
5         ,VEDL      ,27/01/2026,    23524805088.00,            33660
6         ,DIXON     ,27/01/2026,    20286461800.00,            33415
7         ,ICICIBANK ,30/12/2025,    30589660990.00,            32430
8         ,ICICIBANK ,27/01/2026,    30709226730.00,            32353
9         ,TMPV      ,27/01/2026,     9121148560.00,            31478
10        ,HINDZINC  ,27/01/2026,    23052446410.00,            29566
The top ten contracts contributed to around  10% of the total traded volume in Futures on individual securities.HDFCBANK was the most active future contracts on individual securities traded today with 142836 contracts and RELIANCE was the next most active futures contracts with 81209 contracts being traded.                                                                                                                                                                                                     
